" Liczba punktów, jaką uzyskali uczniowie przyjęci do szkół ponadgimnazjalnych w roku szkolnym 2018/2019 ",,,,,,
Dane z 12.07.2018 r. (listy przyjętych w rekrutacji zasadniczej),,,,,,
,,,,,,
Dzielnica szkoły,typ szkoły,Nazwa szkoły,Grupa rekrutacyjna/oddział,Minimum,Średnia,Maksimum
Mokotów,LO,LXV Liceum Ogólnokształcące z Oddziałami Integracyjnymi im. gen. Józefa Bema,"1E [I-o] ang-geogr-wos (ang-hisz,wlo)","113,8","124,43","137,4"
Mokotów,LO,LXVIII Liceum Ogólnokształcące im. Tytusa Chałubińskiego,"1t-psych-medyczna [O] ang-biol (ang-hisz,niem*)","110,2","119,07","139,4"
Mokotów,LO,LXVIII Liceum Ogólnokształcące im. Tytusa Chałubińskiego,"1u-społ-prawna [O] ang-wos (ang-hisz,niem*)","102,6","112,31","140,2"
Mokotów,LO,LXVIII Liceum Ogólnokształcące im. Tytusa Chałubińskiego,"1w-dzień-kulturowa [O] pol-ang (ang-hisz,niem*)","100,4","111,49",159
Mokotów,LO,LXXX Liceum Ogólnokształcące im. Leopolda Staffa,1la/b [O] ang-mat-inf (ang-niem*),"133,6","142,40","173,4"
Mokotów,LO,LXXX Liceum Ogólnokształcące im. Leopolda Staffa,1la/b(h) [O] ang-mat-inf (ang-hisz),"142,4","149,93",164
Mokotów,T,Technikum Ekonomiczne nr 8,"1AB [O] Technik ekonomista (ang-hisz,niem,ros)",49,"95,09","153,2"
Mokotów,T,Technikum Ekonomiczne nr 8,"1CD [O] Technik organizacji reklamy (ang-niem,ros,hisz)","49,4","88,32","121,2"
Mokotów,T,Technikum Hotelarsko-Turystyczno-Gastronomiczne nr 21,1AB [O] Technik hotelarstwa (ang-niem),"32,8","65,79","151,2"
Mokotów,T,Technikum Hotelarsko-Turystyczno-Gastronomiczne nr 21,1DE [O] Technik obsługi turystycznej (ang-hisz),37,"86,07","135,2"
Mokotów,T,Technikum Hotelarsko-Turystyczno-Gastronomiczne nr 21,1GO [O] Technik żywienia i usług gastronomicznych (ang-fra),"34,6","73,94",121
Mokotów,T,Technikum Mechatroniczne nr 1,"1ta/b/c [O] Technik informatyk (ang-niem*,ros*)","158,6","165,03","182,4"
Mokotów,T,Technikum Mechatroniczne nr 1,1ta/b/c(h) [O] Technik informatyk (ang-hisz*),"167,2","170,94","177,6"
Mokotów,T,Technikum Mechatroniczne nr 1,"1 tm 1/2 [O] Technik mechatronik (ang-niem*,ros*)",157,"165,19","182,4"
Mokotów,T,Technikum Mechatroniczne nr 1,1 tm 1/2(h) [O] Technik mechatronik (ang-hisz*),160,"166,86","177,2"
Mokotów,T,Technikum Odzieżowe i Fryzjerskie im. Marii Bratkowskiej,1AB [O] Technik przemysłu mody (ang*-niem*),"50,8","92,15",152
Mokotów,T,Technikum Odzieżowe i Fryzjerskie im. Marii Bratkowskiej,1TC [O] Technik usług fryzjerskich (ang*-niem*),"62,6","85,55","156,6"
Mokotów,T,Technikum Odzieżowe i Fryzjerskie im. Marii Bratkowskiej,1 TDE [O] Technik usług fryzjerskich (ang*-niem*),"55,6","82,89",140
Mokotów,T,Technikum Ogrodnicze,1TAK [O] Technik architektury krajobrazu (ang-niem*),"62,4","97,33","141,4"
Mokotów,T,Technikum Ogrodnicze,1 TOG [O] Technik ogrodnik (ang-niem*),58,"97,77","159,6"
Mokotów,T,Technikum Ogrodnicze,1 TOŚ [O] Technik ochrony środowiska (ang-niem*),"57,6","94,68",146
Mokotów,T,Technikum Ogrodnicze,1TW [O] Technik weterynarii (ang-niem*),100,"125,81","159,2"
Mokotów,LO,VI Liceum Ogólnokształcące im. Tadeusza Reytana,1/1 [O] mat-fiz-ang (ang-niem*),"167,4","170,59","178,6"
Mokotów,LO,VI Liceum Ogólnokształcące im. Tadeusza Reytana,"1/2 [O] mat-fiz-chem (ang-niem*,fra*,ros)","162,6","166,62","173,6"
Mokotów,LO,VI Liceum Ogólnokształcące im. Tadeusza Reytana,"1/3 [O] ang-hist-wos (ang-niem*,fra*,ros)",156,"160,39","175,6"
Mokotów,LO,VI Liceum Ogólnokształcące im. Tadeusza Reytana,"1/4 [O] mat-geogr-ang (ang-niem*,fra*,ros)","165,6","169,85","
laureat/ci"
Mokotów,LO,VI Liceum Ogólnokształcące im. Tadeusza Reytana,"1/5 [O] mat-biol-chem (ang-niem*,fra*,ros)","165,6","168,57",175
